user-id,game-title,behavior-name,value
168576745,Team Fortress 2,play,4.2
79211079,The Walking Dead Season Two,play,11.3
65575604,Call of Duty Modern Warfare 3,purchase,1.0
5250,Deus Ex Human Revolution,play,62.0
50744279,Planetary Annihilation,play,0.4
131876863,Dead Island Epidemic,purchase,1.0
129117376,Gunpoint,purchase,1.0
19696244,Magic Duels,play,25.0
88035166,Velvet Assassin,purchase,1.0
141593973,Dota 2,purchase,1.0
166008897,Dota 2,play,0.7
30246419,Valkyria Chronicles Challenge of the Edy Detachment,purchase,1.0
41719717,Blade Symphony,play,0.1
88035166,Kerbal Space Program,purchase,1.0
63098418,Dota 2,play,2.1
17530772,DayZ,play,97.0
64319625,UFO Afterlight,purchase,1.0
86041729,Arma 3,play,5.2
60217594,Frankenstein Master of Death,purchase,1.0
224070533,Far Cry 3,play,35.0
90272527,Dead Space 2,purchase,1.0
50744279,Ryse Son of Rome,play,0.5
204748975,RaceRoom Racing Experience ,purchase,1.0
203838394,FlatOut,purchase,1.0
65958466,Counter-Strike Global Offensive,purchase,1.0
27117407,MechWarrior Online,purchase,1.0
42005897,Sid Meier's Civilization V Scrambled Continents Map Pack,purchase,1.0
26762388,Aquaria,play,0.7
20566124,Ricochet,purchase,1.0
66615366,Mark of the Ninja,purchase,1.0
112849197,Loadout,play,3.7
92914917,Crayon Physics Deluxe,play,0.6
158476996,Dragon Nest,purchase,1.0
53875128,Titan Quest Immortal Throne,purchase,1.0
28472068,Max Payne,purchase,1.0
94110492,Dark Souls Prepare to Die Edition,purchase,1.0
147079200,Robocraft,purchase,1.0
137610845,Warframe,purchase,1.0
161405419,Stronghold Crusader HD,purchase,1.0
58182267,Day of Defeat Source,purchase,1.0
11794760,Alan Wake's American Nightmare,purchase,1.0
34582304,Left 4 Dead 2,purchase,1.0
33013552,Game of Thrones - A Telltale Games Series,play,2.1
30246419,Race The Sun,purchase,1.0
159595237,Left 4 Dead 2,play,13.3
128207897,America's Army Proving Grounds,play,0.1
266479412,Copa Petrobras de Marcas,purchase,1.0
38465050,Quintet,purchase,1.0
73495968,Dark Souls Prepare to Die Edition,play,22.0
189866742,War Thunder,purchase,1.0
71871620,Day of Defeat,play,5.4
124437057,Violett,purchase,1.0
85458882,Firefall,purchase,1.0
62990992,Euro Truck Simulator 2,play,2.1
198573013,Dead Island Epidemic,play,1.9
36963214,Half-Life 2 Deathmatch,purchase,1.0
91807066,The Elder Scrolls V Skyrim,purchase,1.0
154730370,Garry's Mod,purchase,1.0
200912155,Unturned,play,0.8
57415686,Call of Duty Black Ops,purchase,1.0
21061921,F.E.A.R. Extraction Point,purchase,1.0
